127.0.0.1 - - [12/Apr/2019:09:27:25 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:27:25 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 200 3298
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:27:34 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:27:38 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:27:44 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:28:16 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 200 3298
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:28:19 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:14 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 200 3522
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:17 -0400] "GET /bkg16_Music/GenreListWS?genreName=blu&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:17 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:18 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:21 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:30 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=begins HTTP/1.1" 200 4257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:31:37 -0400] "GET /bkg16_Music/GenreListWS?genreName=blu&searchType=begins HTTP/1.1" 200 4257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:10 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:14 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:14 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:15 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:16 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:21 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:23 -0400] "GET /bkg16_Music/GenreListWS?genreName=blu&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:59 -0400] "GET /bkg16_Music/GenreListWS?genreName=blu&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:59 -0400] "GET /bkg16_Music/GenreListWS?genreName=blue&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:32:59 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:33:00 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:33:01 -0400] "GET /bkg16_Music/song.html?genre_id=17 HTTP/1.1" 200 3550
0:0:0:0:0:0:0:1 - - [12/Apr/2019:09:33:01 -0400] "GET /bkg16_Music/GenreListWS?genreName=blues&searchType=equals HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:26 -0400] "GET /bkg16_Music/album.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:30 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=abb&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:30 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=abbe&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:35 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=abbe&searchType=contains HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:41 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=ame&searchType=contains HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:13:51 -0400] "GET /bkg16_Music/artist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:16:53 -0400] "GET /bkg16_Music/artist.html HTTP/1.1" 200 3634
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:10 -0400] "GET /bkg16_Music/ArtistListWS?artistName=bob&searchType=contains HTTP/1.1" 200 8933
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:21 -0400] "GET /bkg16_Music/ArtistListWS?artistName=len&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:28 -0400] "GET /bkg16_Music/ArtistListWS?artistName=lennon&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:28 -0400] "GET /bkg16_Music/ArtistListWS?artistName=lenn&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:31 -0400] "GET /bkg16_Music/ArtistListWS?artistName=lenno&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:31 -0400] "GET /bkg16_Music/ArtistListWS?artistName=lenn&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:31 -0400] "GET /bkg16_Music/ArtistListWS?artistName=len&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:17:31 -0400] "GET /bkg16_Music/ArtistListWS?artistName=lennon&searchType=contains HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:18:41 -0400] "GET /bkg16_Music/artist.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:18:43 -0400] "GET /bkg16_Music/genre.html HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:18:53 -0400] "GET /bkg16_Music/song.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:22:21 -0400] "GET /bkg16_Music/song.html HTTP/1.1" 200 3781
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:22:28 -0400] "GET /bkg16_Music/SongListWS?songTitle=dea&searchType=begins HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:23:44 -0400] "GET /bkg16_Music/album.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:23:52 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=bea&searchType=contains HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:23:53 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=bea&searchType=contains HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:23:59 -0400] "GET /bkg16_Music/AlbumListWS?albumTitle=bea&searchType=contains HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:00 -0400] "GET /bkg16_Music/artist.html HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:07 -0400] "GET /bkg16_Music/ArtistListWS?artistName=joh&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:07 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:07 -0400] "GET /bkg16_Music/ArtistListWS?artistName=joh&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:07 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:09 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20lenn&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:09 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20len&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:09 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20le&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:10 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20le&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:10 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20lenno&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:24:10 -0400] "GET /bkg16_Music/ArtistListWS?artistName=john%20lennon&searchType=equals HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Apr/2019:10:25:16 -0400] "GET /bkg16_Music/ArtistListWS?artistName=johnlennon&searchType=equals HTTP/1.1" 200 2
